rating,feedbacks_id,feedbacks_date,comment_text,Items_id,customer_id
9.0,357,2023-08-06,Tough player a chair chance most hope official crime race first now tree fight wall itself.,147,45
2.9,358,2025-03-31,Wrong old particularly member summer system artist too whose a nice without.,225,375
1.9,359,2023-07-15,Tend dog reduce hour fish him high nation production little could.,289,174
4.8,360,2024-02-13,Style child young prove care author administration return main join wrong be.,187,302
3.6,361,2024-08-31,Team throw receive us perhaps lawyer interest star his difficult interesting account marriage.,311,19
9.4,362,2024-11-08,Republican especially unit office almost also low happy oil which.,237,199
3.0,363,2023-06-22,Room money teacher seek evidence might model particular early.,198,46
4.3,364,2024-08-22,Range much often party tough movement action law.,303,366
5.7,365,2025-03-24,Off former good within far cold reason our fight size employee picture official of.,78,213
6.6,366,2024-09-11,Speak person expert bar measure surface everyone car exactly tax add.,263,56
9.6,367,2023-07-16,Company option character land space end red machine son television garden base certain value child many.,187,7
4.6,368,2024-03-06,Draw key point decision same generation politics sense break cold human feeling second.,168,320
3.1,369,2024-11-25,Do raise hope enjoy most itself eye something high firm morning what best most government.,65,106
9.4,370,2025-02-04,Particular present evening establish sort effort once leave push drop public side mind.,212,281
9.0,371,2024-09-28,Finish action across attack in moment rate goal rise.,320,397
9.1,372,2023-11-02,Alone people arm order thus describe outside business when beat.,152,120
2.2,373,2024-08-02,Heavy shake possible sort continue book contain far produce.,372,285
2.2,374,2023-06-18,Two everybody interview tough show food class available since him four art western enough.,368,208
1.6,375,2024-03-28,Man up particular condition man century shoulder despite.,339,339
3.8,376,2024-09-01,Tree resource billion authority number economy knowledge to.,247,96
2.4,377,2023-08-14,Usually professor entire record toward off middle.,344,177
4.0,378,2025-04-20,Long identify road speech audience difficult his ready sister building movement yard four field.,173,318
3.3,379,2023-06-02,Young positive half table future subject set face data never whose produce federal hope blood read.,54,181
6.3,380,2024-05-02,Those just country along agent you draw home.,176,269
5.9,381,2024-12-26,Poor matter who speech whom administration fund front return if deep president mission vote thank.,323,274
2.2,382,2024-06-10,Scientist do author save major affect trade peace drug.,377,195
4.2,383,2024-09-05,Add plan toward star best particularly structure ask stage.,380,74
5.1,384,2023-07-18,Organization past as dark front structure scene I building range national focus who degree.,225,372
7.7,385,2023-05-26,Community as event serious collection have close during old card social place heavy citizen they ball.,135,177
4.9,386,2023-04-26,Unit religious order exist really society live camera central.,172,313
3.3,387,2023-11-17,Late dream company reality other response partner because step feeling industry newspaper court worry with.,379,300
7.2,388,2024-08-13,Television would medical less phone decade apply both chance such treatment marriage.,361,308
9.5,389,2023-08-23,Approach hair decide edge pattern three law.,213,368
7.3,390,2023-07-11,Understand compare size machine break time return.,211,250
8.4,391,2024-07-24,For cup quality for single for better scene thank heart determine likely machine three certain until.,278,50
8.1,392,2024-04-08,Hold carry rest place wish dark camera realize arrive.,248,218
2.8,393,2023-08-05,Surface learn commercial gas though page smile point.,78,280
6.5,394,2024-08-07,Official need discover in miss television describe list leg.,344,244
3.2,395,2023-05-02,Save east force often through option chance off above woman always likely shoulder.,147,75
3.7,396,2023-05-17,Most look something start laugh drive next actually rule wear car fast positive.,228,239
5.0,397,2023-06-30,Look fight reflect teach section agency lawyer.,373,198
4.4,398,2024-12-10,Them if smile have less plant team audience throw.,321,318
3.8,399,2024-01-04,Allow international especially watch my some skin ball thing save area war push thousand book.,254,361
7.6,400,2024-01-29,People half compare next attack remember daughter wonder draw box long voice oil where.,172,393
